COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ib.1	p_Ia.3.III	p_Ia.4.RS39	p_Ia.3.IV	p_Ia.4.1483	p_Ia.4.II	p_Ia.3.II	p_Ia.3.VI	p_Ia.3.V	p_Ia.3.I	p_Ia.1.I	N_Ib.1	N_Ia.3.III	N_Ia.4.RS39	N_Ia.3.IV	N_Ia.4.1483	N_Ia.4.II	N_Ia.3.II	N_Ia.3.VI	N_Ia.3.V	N_Ia.3.I	N_Ia.1.I
Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (GapA) (PDB:3ZDF)	0	1	1	NA	COG0057	GC_00000535, GC_00003425	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
1-deoxy-D-xylulose 5-phosphate reductoisomerase (Dxr) (PDB:1JVS)	0	1	1	NA	COG0743	GC_00000684, GC_00003050	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
RNase P protein component (RnpA) (PDB:1A6F)	0	1	1	NA	COG0594	GC_00000260	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Arginase/agmatinase family enzyme (SpeB) (PDB:1CEV)	0	1	1	NA	COG0010	GC_00000288, GC_00000833, GC_00002834	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY)	0	1	1	NA	COG0161	GC_00000252, GC_00002022	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Quinolinate synthase (NadA) (PDB:4HHE) (PUBMED:24498065)	0	1	1	NA	COG0379	GC_00000113	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation (CvpA) (PUBMED:27795353)	0	1	1	NA	COG1286	GC_00000936, GC_00002330	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
DNA-binding transcriptional regulator, MerR family (SoxR) (PDB:2VZ4)	0	1	1	NA	COG0789	GC_00000487, GC_00002539, GC_00004961	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein S7 (RpsG) (PDB:4V4H)	0	1	1	NA	COG0049	GC_00000207	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein YqeY, may have tRNA amino acid amidase activity (YqeY) (PDB:1NG6)	0	1	1	NA	COG1610	GC_00000694	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Biopolymer transport protein ExbD (ExbD) (PDB:2JWK)	0	1	1	NA	COG0848	GC_00000219	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ketopantoate hydroxymethyltransferase (PanB) (PDB:3VAV)	0	1	1	NA	COG0413	GC_00000063, GC_00001224, GC_00002744	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X)	0	1	1	NA	COG0493	GC_00000778	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Phosphatidylglycerophosphate synthase (PgsA) (PDB:4MND)	0	1	1	NA	COG0558	GC_00000214, GC_00003843, GC_00005241, GC_00007580	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)	0	1	1	NA	COG1396	GC_00000194, GC_00004186, GC_00004475	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein (PDB:1X6M)	0	1	1	NA	COG3791	GC_00000018, GC_00001230, GC_00001306, GC_00002655, GC_00003402, GC_00003543	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
ABC-type branched-chain amino acid transport system, ATPase component LivF (LivF) (PDB:1JI0) (PUBMED:26527648;32250026)	0	1	1	NA	COG0410	GC_00000321, GC_00000961, GC_00001332, GC_00002897	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein L19 (RplS) (PDB:1VS6) (PUBMED:27941785)	0	1	1	NA	COG0335	GC_00000449	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Rhodanese-related sulfurtransferase (PspE) (PDB:1TQ1)	0	1	1	NA	COG0607	GC_00000657, GC_00001215, GC_00004241	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Alpha/beta superfamily hydrolase (PDB:2FUK)	0	1	1	NA	COG2945	GC_00000258	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein L21 (RplU) (PDB:1VS6)	0	1	1	NA	COG0261	GC_00000356	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein L20 (RplT) (PDB:1VS6) (PUBMED:30270044)	0	1	1	NA	COG0292	GC_00000269	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
FoF1-type ATP synthase, alpha subunit (AtpA) (PDB:3OAA)	0	1	1	NA	COG0056	GC_00000204	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)	0	1	1	NA	COG1846	GC_00000175, GC_00004263, GC_00006445	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A) (Efp) (PDB:1UEB)	0	1	1	NA	COG0231	GC_00000420	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
SOS response regulatory protein OraA/RecX, interacts with RecA (RecX) (PDB:3C1D)	0	1	1	NA	COG2137	GC_00000549	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair (DinP) (PDB:4R8U) (PUBMED:16544291)	0	1	1	NA	COG0389	GC_00000025	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Osmotically-inducible protein OsmY, contains BON domain (OsmY) (PUBMED:12878000)	0	1	1	NA	COG2823	GC_00000100	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
(p)ppGpp synthase/hydrolase, HD superfamily (SpoT) (PDB:1TDJ)	0	1	1	NA	COG0317	GC_00000474, GC_00001990	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family (PpiB) (PDB:4DGD)	0	1	1	NA	COG0652	GC_00000239, GC_00000682	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O)	0	1	1	NA	COG0556	GC_00000300	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA (MnmG) (PDB:2ZXH)	0	1	1	NA	COG0445	GC_00000690	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Protein chain release factor PrfB (PrfB) (PDB:1GQE)	0	1	1	NA	COG1186	GC_00000651	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
ABC-type taurine transport system, periplasmic component (TauA) (PDB:6SSY)	0	1	1	NA	COG4521	GC_00000240	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Methionyl-tRNA synthetase (MetG) (PDB:1A8H)	0	1	1	NA	COG0143	GC_00000639	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Cell division protein ZapE (Z ring-associated ATPase), AFG1 superfamily (ZapE)	0	1	1	NA	COG1485	GC_00000117	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Succinate dehydrogenase, hydrophobic anchor subunit (SdhD) (PDB:2WS3)	0	1	1	NA	COG2142	GC_00000392	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein S19 (RpsS) (PDB:4V4H)	0	1	1	NA	COG0185	GC_00000170	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Serine acetyltransferase (CysE) (PDB:1T3D)	0	1	1	NA	COG1045	GC_00000280, GC_00003975, GC_00006029	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Single-stranded DNA-binding protein (Ssb) (PDB:1EQQ)	0	1	1	NA	COG0629	GC_00000212	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family (YggS) (PDB:3SY1) (PUBMED:26872910)	0	1	1	NA	COG0325	GC_00000114	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
N-acetyl-gamma-glutamylphosphate reductase (ArgC) (PDB:3DR3)	0	1	1	NA	COG0002	GC_00000758	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein L9 (RplI) (PDB:1VS6) (PUBMED:27112601)	0	1	1	NA	COG0359	GC_00000724	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein S20 (RpsT) (PDB:4V4H)	0	1	1	NA	COG0268	GC_00000168	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Phytoene dehydrogenase-related protein (PDB:4REP)	0	1	1	NA	COG1233	GC_00000503	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG)	0	1	1	NA	COG0683	GC_00000112, GC_00000407, GC_00000963, GC_00001329, GC_00002002, GC_00002962, GC_00007574	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Deoxyxylulose-5-phosphate synthase (Dxs) (PDB:2O1S)	0	1	1	NA	COG1154	GC_00000506	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Geranylgeranyl pyrophosphate synthase (IspA) (PDB:2AZJ)	0	1	1	NA	COG0142	GC_00000500, GC_00000760	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Signal transduction histidine kinase NtrY involved in nitrogen fixation and metabolism regulation (NtrY)	0	1	1	NA	COG5000	GC_00000055	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Aspartate/methionine/tyrosine aminotransferase (AspB) (PDB:2O0R)	0	1	1	NA	COG0436	GC_00000423, GC_00000501, GC_00001282, GC_00003679, GC_00004321	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain (PurL1) (PDB:3VIU)	0	1	1	NA	COG0046	GC_00000572	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Spermidine/putrescine-binding periplasmic protein (PotD) (PDB:1POT)	0	1	1	NA	COG0687	GC_00000757	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Carbamoylphosphate synthase small subunit (CarA) (PDB:1C30)	0	1	1	NA	COG0505	GC_00000751	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Shikimate kinase (AroK) (PDB:1E6C)	0	1	1	NA	COG0703	GC_00000364	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein (Apt) (PDB:1QB7)	0	1	1	NA	COG0503	GC_00000086	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Glycine/serine hydroxymethyltransferase (GlyA) (PDB:1BJ4)	0	1	1	NA	COG0112	GC_00000397	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Peroxiredoxin (AHP1) (PDB:1H4O)	0	1	1	NA	COG0678	GC_00000557, GC_00001900	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Translation elongation factor EF-Ts (Tsf) (PDB:1EFU)	0	1	1	NA	COG0264	GC_00000661	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein L24 (RplX) (PDB:1VS6)	0	1	1	NA	COG0198	GC_00000171	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Nicotinate-nucleotide adenylyltransferase NadD (NadD) (PDB:1YUM)	0	1	1	NA	COG1057	GC_00000775	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
ABC-type arginine transport system, permease component (ArtQ)	0	1	1	NA	COG4215	GC_00000789	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Riboflavin synthase alpha chain (RibC) (PDB:1I8D)	0	1	1	NA	COG0307	GC_00000719	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271)	0	1	1	NA	COG0404	GC_00000024, GC_00000069, GC_00000744, GC_00001079, GC_00001660, GC_00001802, GC_00002502, GC_00002805	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized membrane protein	0	1	1	NA	COG3748	GC_00000363, GC_00001175, GC_00001318, GC_00001779, GC_00001848, GC_00004875	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)	0	1	1	NA	COG0841	GC_00000543, GC_00003711	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
tmRNA-binding protein (SmpB) (PDB:1J1H) (PUBMED:26251518)	0	1	1	NA	COG0691	GC_00000327	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Branched-chain amino acid transport protein (AzlD2)	0	1	1	NA	COG4392	GC_00000246, GC_00000975	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Predicted branched-chain amino acid permease (azaleucine resistance) (AzlC)	0	1	1	NA	COG1296	GC_00000290, GC_00000964	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)	0	1	1	NA	COG0265	GC_00000136, GC_00001677, GC_00002553, GC_00002689, GC_00003379, GC_00003586, GC_00004645, GC_00004691, GC_00005476, GC_00005797, GC_00005871, GC_00006353, GC_00007048, GC_00007280, GC_00007604	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein L23 (RplW) (PDB:1VS6)	0	1	1	NA	COG0089	GC_00000157	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Glutaredoxin (GrxC) (PDB:1AAZ)	0	1	1	NA	COG0695	GC_00000203	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Lipid II flippase MurJ/MviN (peptidoglycan biosynthesis) (MurJ) (PDB:5T77) (PUBMED:25013077)	0	1	1	NA	COG0728	GC_00000127	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
NADH:ubiquinone oxidoreductase subunit 3 (chain A) (NuoA) (PDB:3RKO)	0	1	1	NA	COG0838	GC_00000186	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosome-binding ATPase YchF, GTP1/OBG family (GTP1) (PDB:2DWQ) (PUBMED:21527254)	0	1	1	NA	COG0012	GC_00000628	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Chromatin segregation and condensation protein Rec8/ScpA/Scc1, kleisin family (ScpA) (PDB:3W6J)	0	1	1	NA	COG1354	GC_00000553	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
5-oxoprolinase subunit C/Allophanate hydrolase subunit 2 (PxpC) (PDB:3MML) (PUBMED:28830929)	0	1	1	NA	COG1984	GC_00000068	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
NAD kinase (NadK) (PDB:1SUW)	0	1	1	NA	COG0061	GC_00000715	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
RNA polymerase-interacting regulator, CarD/CdnL/TRCF family (CdnL) (PDB:4ILU)	0	1	1	NA	COG1329	GC_00000527	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Molecular chaperone GrpE (heat shock protein HSP-70) (GrpE) (PDB:1DKG)	0	1	1	NA	COG0576	GC_00000139	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB)	0	1	1	NA	COG1116	GC_00000296	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC (TsaC) (PDB:1HRU)	0	1	1	NA	COG0009	GC_00000656	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Phosphatidylserine synthase (PssA)	0	1	1	NA	COG1183	GC_00000057, GC_00002114	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Orotate phosphoribosyltransferase (PyrE) (PDB:4WML)	0	1	1	NA	COG0461	GC_00000311	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity) (RsmA) (PDB:1QYR)	0	1	1	NA	COG0030	GC_00000666	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Adenylate kinase or related kinase (Adk) (PDB:1AK2)	0	1	1	NA	COG0563	GC_00000414	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
FAD synthase (RibF) (PDB:1MRZ)	0	1	1	NA	COG0196	GC_00000050	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Transketolase (TktA) (PDB:1AY0)	0	1	1	NA	COG0021	GC_00000687, GC_00003034, GC_00003245	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Signal transduction histidine kinase (BaeS) (PDB:1JOY)	0	1	1	NA	COG0642	GC_00000092, GC_00000524, GC_00006894	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase (GatA) (PDB:3H0L)	0	1	1	NA	COG0154	GC_00000498, GC_00000836, GC_00002267	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Alcohol dehydrogenase, class IV (EutG) (PDB:6AHC)	0	1	1	NA	COG1454	GC_00000874, GC_00001968, GC_00002128, GC_00002273, GC_00004192, GC_00007251	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Glycyl-tRNA synthetase, beta subunit (GlyS)	0	1	1	NA	COG0751	GC_00000670	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit (SdhB/FrdB) (PDB:6LUM)	0	1	1	NA	COG0479	GC_00000234	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Pyridoxine/pyridoxamine 5'-phosphate oxidase (PdxH) (PDB:1CI0)	0	1	1	NA	COG0259	GC_00000537	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Predicted flavin-containing amine oxidase (Ppro0129)	0	1	1	NA	COG2907	GC_00000144	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE (IspG) (PDB:2Y0F)	0	1	1	NA	COG0821	GC_00000609	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Thiamine monophosphate kinase (ThiL) (PDB:5CC8)	0	1	1	NA	COG0611	GC_00000883, GC_00003834	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF2155 domain	0	1	1	NA	COG4765	GC_00000708	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
C-terminal processing protease CtpA/Prc, contains a PDZ domain (CtpA) (PDB:6IQU)	0	1	1	NA	COG0793	GC_00000672	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
ADP-heptose:LPS heptosyltransferase (RfaF) (PDB:1PSW)	0	1	1	NA	COG0859	GC_00000790, GC_00001307, GC_00001464, GC_00001500, GC_00001543, GC_00001675, GC_00002449, GC_00002491, GC_00003860, GC_00004099, GC_00004562, GC_00005057, GC_00005553, GC_00005663, GC_00006977, GC_00007945	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
5,10-methylenetetrahydrofolate reductase (MetF) (PDB:1B5T)	0	1	1	NA	COG0685	GC_00000336	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
tRNA G37 N-methylase TrmD (TrmD) (PDB:1P9P)	0	1	1	NA	COG0336	GC_00000421	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein S8 (RpsH) (PDB:4V4H)	0	1	1	NA	COG0096	GC_00000244	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
K+-sensing histidine kinase KdpD (KdpD) (PDB:2KSF)	0	1	1	NA	COG2205	GC_00000731	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Isocitrate dehydrogenase (Icd) (PDB:1IDD)	0	1	1	NA	COG0538	GC_00000043	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Amino acid racemase YgeA (RacX) (PDB:5ELL)	0	1	1	NA	COG1794	GC_00000688	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
DNA-binding nucleoid-associated protein YbaB/EfbC (YbaB) (PDB:1J8B) (PUBMED:19594923;22544270)	0	1	1	NA	COG0718	GC_00000265	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
DNA-directed RNA polymerase, alpha subunit/40 kD subunit (RpoA) (PDB:4KN7)	0	1	1	NA	COG0202	GC_00000211, GC_00002060, GC_00002746, GC_00007255	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme (IlvB) (PDB:1BFD)	0	1	1	NA	COG0028	GC_00000723, GC_00000754, GC_00001342, GC_00001745, GC_00002174, GC_00002945, GC_00004930, GC_00005155, GC_00005172, GC_00005901, GC_00006083, GC_00006201, GC_00006321, GC_00006415, GC_00007100	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
3-dehydroquinate dehydratase (AroQ) (PDB:1D0I)	0	1	1	NA	COG0757	GC_00000357	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Arginine exporter protein ArgO (ArgO)	0	1	1	NA	COG1279	GC_00000482	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
RecA/RadA recombinase (RecA) (PDB:1B22)	0	1	1	NA	COG0468	GC_00000034	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)	0	1	1	NA	COG2227	GC_00000461, GC_00001624, GC_00001963, GC_00002272, GC_00002452, GC_00002484, GC_00002522, GC_00002578, GC_00002590, GC_00002649, GC_00003071, GC_00003081, GC_00003195, GC_00003216, GC_00003394, GC_00003494, GC_00003498, GC_00003502, GC_00003566, GC_00003579, GC_00003618, GC_00003702, GC_00003864, GC_00003940, GC_00003997, GC_00004157, GC_00004283, GC_00004333, GC_00004346, GC_00004380, GC_00004393, GC_00004440, GC_00004550, GC_00004600, GC_00004770, GC_00004809, GC_00004822, GC_00004851, GC_00004886, GC_00004989, GC_00005091, GC_00005165, GC_00005183, GC_00005261, GC_00005389, GC_00005483, GC_00005621, GC_00005643, GC_00005815, GC_00005823, GC_00006058, GC_00006152, GC_00006228, GC_00006369, GC_00006479, GC_00006543, GC_00006680, GC_00006790, GC_00006857, GC_00006969, GC_00007051, GC_00007091, GC_00007197, GC_00007498, GC_00007563, GC_00007733, GC_00007751, GC_00008099, GC_00008193	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
N-Dimethylarginine dimethylaminohydrolase (DdaH) (PDB:6LRH)	0	1	1	NA	COG1834	GC_00000085, GC_00008175	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Cytochrome oxidase assembly protein ShyY1 (Shy1)	0	1	1	NA	COG3346	GC_00000624	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Phosphomannomutase (ManB) (PDB:6MNV)	0	1	1	NA	COG1109	GC_00000475, GC_00000590	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Peptidyl-prolyl isomerase, parvulin family (SurA) (PDB:2ZR5)	0	1	1	NA	COG0760	GC_00001001, GC_00001469, GC_00001670, GC_00001721, GC_00001989, GC_00002102, GC_00002176, GC_00002412, GC_00002422, GC_00002540, GC_00002823, GC_00003404, GC_00003485, GC_00003580, GC_00004051, GC_00005908, GC_00006225, GC_00006822, GC_00007192, GC_00007252, GC_00007499, GC_00007501, GC_00007595, GC_00007817	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Protein translocase subunit YajC (YajC)	0	1	1	NA	COG1862	GC_00000185	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Phosphoribosylpyrophosphate synthetase (PrsA) (PDB:1DKR)	0	1	1	NA	COG0462	GC_00000277	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Primosomal protein N' (replication factor Y) - superfamily II helicase (PriA) (PDB:6DCR)	0	1	1	NA	COG1198	GC_00000753	1	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
